lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_sm_todense,sp_smdm,total_sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
14048,771,13751,0.00860544,0.15,93233,1590754,51,3281,3332,10364,38,8331
23231,3666,17528,0.01084252,0.15,923543,9640168,267,23470,23737,51971,143,87796
131503,46495,3807,0.00019487,0.27,1191490,47802468,2090,30850,32940,69208,692,38575
42661,98275,810,0.00082282,0.3,3449722,23882852,841,4908,5749,11151,435,16124
124491,2989,8506,0.00019487,0.25,72515,6356963,105,10439,10544,12515,269,16672
41526,6876,37572,0.00002483,0.17,7090,43921099,9862,21326,31188,3534,1357,30719
73264,36226,14057,0.00860544,0.05,22839600,25462876,11191,536907,548098,254696,2513,1729985
109787,84007,12567,0.00082185,0.005,7579868,5278713,7366,287485,294851,39415,5645,673062
92892,29227,5911,0.00015297,0.23,415318,39742536,1718,22950,24668,49584,389,23075
12871,12566,48371,0.00078778,0.1,127428,60786423,14210,39145,53355,47300,1546,67548
136773,60533,4472,0.00002088,0.13,172872,35191674,8172,21816,29988,8839,7988,20734
12971,33483,15175,0.00182521,0.13,792721,66058274,15136,19275,34411,27075,14543,69629
77879,63025,11611,0.00013363,0.05,655911,36592561,9849,37782,47631,29292,9044,75373
41815,28148,4767,0.02533638,0.3,29821998,40258047,1381,207516,208897,247776,294,718715
115202,59641,6193,0.00160539,0.03,11030405,11082500,5946,212349,218295,97268,1727,466523
50522,8252,10560,0.00296184,0.05,1234850,4357242,260,22221,22481,36522,179,73017
35557,50527,33258,0.02533638,0.005,45519939,8402353,16185,2244357,2260542,174933,7344,7688832
73339,16870,16588,0.00182521,0.23,2258237,64363645,2189,84968,87157,226839,1474,212262
9299,41487,5783,0.00078778,0.25,303943,59988259,1928,5219,7147,7832,1267,12612
86521,33964,16898,0.00370564,0.1,10889559,57393292,16040,421135,437175,332223,2879,1059022
7293,88117,3594,0.00015297,0.15,98310,47505746,10496,3821,14317,3486,10299,5971
26691,23258,14148,0.00041097,0.03,255133,9872247,3389,14114,17503,7660,3250,28946
98066,41967,4088,0.00082282,0.23,3386379,39465343,1734,48364,50098,79696,641,90221
116613,13871,7347,0.00082185,0.07,1329414,7134207,285,25648,25933,48013,262,70933
146723,50138,9134,0.00031941,0.13,2349750,59535716,13810,86127,99937,179105,2347,172021
12390,12503,17078,0.00056263,0.15,87166,32030299,1504,17567,19071,12458,1104,18269
48349,27792,27748,0.00082185,0.07,1104360,53983736,13377,71581,84958,126592,3788,199104
88274,73012,4168,0.00015297,0.2,985914,60871976,13384,10803,24187,41958,13078,32050
146067,6562,7358,0.00002483,0.25,23801,12072634,182,10154,10336,3023,267,11790
105587,27508,4739,0.00078778,0.07,2288163,9126957,1237,28367,29604,46523,275,74781
81464,7120,25173,0.00491597,0.05,2851458,8961824,1563,128913,130476,175920,628,404195
125857,42282,11878,0.00108175,0.13,5756540,65294101,15849,242265,258114,279746,2563,490901
128261,9592,15190,0.00034241,0.27,421271,39342141,1546,40058,41604,128722,525,66028
25669,4966,8747,0.00082185,0.2,104775,8688468,371,4782,5153,12479,240,9104
102238,46444,5011,0.00108175,0.2,5136538,46554403,1756,82738,84494,110177,1037,169766
40058,38153,33365,0.00108175,0.005,1653316,6365225,6987,88492,95479,19656,6999,315380
22717,23456,9074,0.00078778,0.27,419776,57471245,1782,30435,32217,34994,450,23537
130451,3348,5445,0.00056263,0.27,245799,4923828,99,8656,8755,25765,54,15951
51667,59315,34324,0.00296184,0.01,9077075,20359700,14624,506844,521468,167222,8568,1645889
35930,18510,43427,0.00108175,0.05,719456,40193270,11389,67415,78804,113626,3888,195502
102296,49130,19240,0.00082487,0.001,4145695,945278,4994,204505,209499,5284,4925,532528
10672,69703,3104,0.02533638,0.27,18847451,58433424,1816,78802,80618,98574,1143,296070
64621,50363,25942,0.00296184,0.03,9639487,39196463,15213,425480,440693,230110,6095,1347968
45392,20350,19204,0.00013363,0.13,123441,50807587,11456,31389,42845,20828,11109,28563
80022,60627,9037,0.00019487,0.1,945424,54794058,12765,43397,56162,76519,1842,83184
44171,76085,461,0.00296184,0.3,9954267,10531483,165,7240,7405,11527,189,24159
90671,14282,15507,0.00001651,0.2,21380,44297385,9679,19951,29630,5388,1146,23697
78709,24244,14016,0.00008429,0.05,160849,16991946,4540,21235,25775,13283,4444,35467
63788,71216,18054,0.00182521,0.03,8291531,38574127,14737,267031,281768,166723,6009,819427
97165,68569,4654,0.00296184,0.15,19733663,47874562,14846,224517,239363,190954,708,555238
89490,74614,2024,0.00952101,0.001,63574769,151024,195,291891,292086,20373,498,740885
58210,37778,9183,0.00108175,0.03,2378882,10408478,3607,40075,43682,43297,1641,126355
114059,34686,11559,0.00015297,0.05,605203,20048095,5550,33545,39095,28881,1843,72446
31683,32508,6174,0.00015297,0.17,157556,34122834,7512,4775,12287,9600,1043,9435
72822,57831,14154,0.00031941,0.07,1345182,57301813,24259,62342,86601,104483,4068,143247
2739,78424,15866,0.00018467,0.05,39677,62217421,17247,11033,28280,3192,15765,16014
84935,12015,13964,0.00001651,0.23,16848,38591061,1662,22964,24626,4176,885,18406
6103,20251,12405,0.00296184,0.27,366104,67833284,2087,7851,9938,14390,1321,26794
65858,3776,26687,0.00078778,0.27,195927,27211303,1144,29747,30891,93396,287,47443
38914,15694,4996,0.01084252,0.3,6622177,23528295,839,50011,50850,73489,424,176390
44704,5811,14677,0.00108175,0.17,281051,14501473,785,12487,13272,43810,193,30158
66823,75696,25692,0.00163948,0.03,8293048,58345779,21442,387678,409120,258484,9004,1175183
74994,27738,25355,0.00082185,0.05,1709621,35165355,10071,92243,102314,148103,3416,269087
135355,38202,11339,0.00056263,0.07,2909288,30324708,8064,117395,125459,155019,2151,262164
66726,22607,1330,0.00163948,0.13,2473191,3910963,135,7157,7292,13739,169,18964
36799,5092,43610,0.00047003,0.03,88077,6662024,2330,21095,23425,9040,2201,39511
44946,23862,10346,0.00013363,0.05,143321,12345012,3432,12664,16096,5487,3534,18527
129648,25185,11868,0.00082185,0.17,2683583,50813846,12027,114832,126859,232249,1546,243811
142307,8033,2625,0.00163948,0.27,1874270,5695502,93,15165,15258,49099,59,36543
57597,63238,755,0.00078778,0.3,2869437,14330699,511,3797,4308,9590,158,12643
126922,57792,10927,0.00108175,0.005,7934737,3157595,4789,285741,290530,35739,3486,633867
124800,17746,12206,0.00082185,0.15,1820176,32491617,1519,71700,73219,180211,1123,166687
136659,27940,12162,0.00296184,0.15,11309213,50973075,14022,501174,515196,394792,1743,965549
78162,24539,11588,0.00082282,0.13,1578228,36970027,8833,41478,50311,119068,1464,112382
149955,36504,9381,0.00002483,0.2,135920,68490979,2745,43214,45959,20717,14898,37097
12643,99596,2325,0.00041097,0.13,517516,30104139,1473,4775,6248,4143,1201,10349
36139,72013,4378,0.00041097,0.03,1069560,9458446,3137,10387,13524,9574,3009,30334
63775,44774,6798,0.00008429,0.17,240692,51750197,11544,8215,19759,19747,11264,12405
148354,99024,4604,0.00370564,0.13,54438984,59269117,3096,943274,946370,466170,867,1866179
54699,76215,798,0.00491597,0.17,20494607,10346173,617,25478,26095,24194,144,88026
113043,41077,3683,0.00047003,0.03,2182611,4539368,2029,21629,23658,18262,726,60673
66980,36237,9185,0.00082487,0.13,2002126,43272073,10028,48177,58205,90976,1462,109094
141073,28126,2326,0.00160539,0.005,6369983,327166,108,52735,52843,5104,121,114109
149793,78568,2030,0.00082487,0.17,9707925,27118251,1574,86853,88427,76822,566,151349
23140,8628,35039,0.00370564,0.2,739906,60468002,13556,46308,59864,135775,1575,145361
37092,15365,48284,0.00001651,0.07,9409,51934231,12710,38043,50753,3064,12065,45723
53386,9774,22227,0.00001651,0.27,8615,58664254,12630,20011,32641,4190,1151,32430
105119,8191,8952,0.00108175,0.15,931427,10999742,651,23168,23819,78388,156,61382
100983,44691,9699,0.00082282,0.07,3713475,30343085,8312,97746,106058,135842,2165,250694
143676,14415,5210,0.00082487,0.17,1708472,12770319,674,26564,27238,86582,159,68873
117913,8575,11004,0.00019487,0.15,197035,14154596,847,18374,19221,26809,697,32273
143129,14578,12341,0.00015297,0.23,319183,41380938,1798,37084,38882,81732,399,53149
74042,43256,5628,0.01084252,0.27,34726753,65739047,2086,347495,349581,468606,1290,1085329
132476,27494,4938,0.00019487,0.2,709797,27158635,1358,21340,22698,51941,452,31707
148584,39440,1374,0.00018467,0.15,1082204,8132810,234,6642,6876,18269,295,12597
55773,16286,14336,0.00041097,0.1,373319,23350367,5721,19313,25034,39790,1104,46452
99970,39586,20225,0.00013363,0.005,528846,4003415,4349,42402,46751,3823,4225,103302
126823,88859,2657,0.00163948,0.15,18476023,35422494,1662,182056,183718,114249,1225,366042
61976,26432,5920,0.00047003,0.2,769992,31299575,1620,20813,22433,46613,614,29937
138522,71083,4335,0.00056263,0.2,5540010,61642556,14956,79770,94726,141877,614,183202
112945,18830,13819,0.00163948,0.001,3486790,260221,1965,121657,123622,3001,1909,332038
67946,1906,17897,0.02533638,0.2,3281547,6823200,123,87499,87622,181142,83,314589
84008,18577,1006,0.02533638,0.2,39540932,3740510,77,73877,73954,68760,108,85715
20418,11968,27891,0.00082185,0.2,200845,66765881,2522,37855,40377,63946,733,38350
30333,14254,14880,0.00041097,0.25,177699,53028812,11407,7381,18788,43953,465,20434
49759,2614,21492,0.00082487,0.17,107315,9552833,178,13002,13180,26405,1085,25545
86839,13389,21867,0.01084252,0.03,12607482,8784267,5408,588059,593467,253348,1379,1588297
23962,71633,21505,0.00056263,0.03,965770,46214520,15810,46116,61926,47498,13919,154104
27872,33660,4176,0.00860544,0.3,8073829,42171004,1683,47880,49563,71722,10792,177573
119534,14986,296,0.00952101,0.15,17056374,665588,33,14152,14185,10109,25,34260
13499,38946,34963,0.00082487,0.005,433667,6808399,7450,40469,47919,7348,7097,105920
139920,39416,1928,0.00019487,0.2,1074756,15202048,248,9523,9771,27114,164,18082
118113,63168,1877,0.00491597,0.27,36678218,32014833,1389,204898,206287,196682,637,485962
38901,3854,43891,0.00108175,0.3,162196,50751830,1889,38007,39896,130032,640,28175
116768,68224,6487,0.00491597,0.07,39163128,30982527,2804,753570,756374,223395,2137,1713565
52392,2000,17644,0.02533638,0.2,2655227,7058675,179,65572,65751,137324,85,248432
143170,72851,5332,0.00015297,0.13,1595504,50497653,11770,44382,56152,76801,1162,73901
38557,54026,22112,0.00018467,0.03,384695,35840441,12048,44877,56925,19868,10631,49721
84614,4018,3725,0.00160539,0.3,545845,4491306,75,6613,6688,29914,47,14793
44485,16752,5113,0.00018467,0.3,137625,25701076,1032,12345,13377,12894,464,11983
62792,45902,1805,0.00041097,0.3,1184551,24861976,899,4206,5105,17457,448,19173
67996,55908,12112,0.00296184,0.05,11259707,33859293,11433,239740,251173,164522,3298,758334
95682,28543,1972,0.00047003,0.23,1283700,12948869,289,5568,5857,23495,162,17927
49881,6891,20796,0.00082487,0.17,283538,24362044,1288,24131,25419,66033,292,46137
12352,12468,17608,0.02533638,0.17,3902395,37324854,1585,94922,96507,102809,439,356481
11199,26434,11001,0.02533638,0.13,7500968,37806953,10390,101110,111500,78366,1501,438272
51832,91023,2937,0.00019487,0.13,919394,34762377,8063,7254,15317,16514,7956,19434
62262,12569,11875,0.00108175,0.005,846595,746346,1205,20556,21761,3183,1126,63086
143052,52536,2399,0.00078778,0.07,5920522,8823825,1027,54997,56024,47971,1144,117440
80027,15153,11376,0.00078778,0.2,955350,34478646,1732,35624,37356,109140,636,71745
115963,36450,9188,0.00015297,0.2,646590,66987116,14872,31639,46511,115555,1755,54605
41430,11930,28171,0.00002088,0.2,10320,67221162,2693,34839,37532,4985,1748,27315
41846,72699,6721,0.00370564,0.01,11273405,4886774,4926,115867,120793,34504,2220,414479
37623,1710,39221,0.00108175,0.3,69604,20122893,359,17875,18234,53721,151,30502
111901,76334,779,0.00056263,0.23,4805928,13678481,368,10459,10827,22076,326,28108
79686,60914,10077,0.00296184,0.07,14377050,42971935,13715,283880,297595,193091,2834,813244
62280,73458,2207,0.00078778,0.15,3604136,24327889,1610,13601,15211,31552,647,46710
22104,24818,5378,0.00182521,0.25,1001316,33370838,1490,7720,9210,17757,707,37967
121480,16530,4479,0.00108175,0.23,2172316,17030235,355,29544,29899,84578,176,72429
22778,10815,19643,0.00056263,0.13,138607,27618796,6532,13860,20392,28763,898,26196
23703,22268,4497,0.00078778,0.15,415822,15023582,369,4190,4559,10299,253,12420
81401,45610,6643,0.00108175,0.17,4016255,51508589,2190,69294,71484,105952,1541,159583
16040,39396,27507,0.00952101,0.001,6016511,1083671,6054,235257,241311,11554,5722,881754
4161,12489,19123,0.01084252,0.17,563597,40603716,1656,14011,15667,18523,9420,59470
110866,73534,17656,0.00182521,0.01,14880151,12983882,11118,755860,766978,181982,5804,1820858
99144,97504,3991,0.00163948,0.15,15848898,58377287,16805,158802,175607,131483,769,399966
52305,19935,7537,0.00296184,0.17,3088399,25546284,1473,44282,45755,70912,310,127442
66190,3277,16927,0.00082282,0.15,178484,8321213,535,14209,14744,33036,125,28233
12228,10281,22617,0.00013363,0.23,16801,53483788,1903,19699,21602,6471,1215,6127
144319,38023,7918,0.00860544,0.005,47222253,1505374,1381,1234024,1235405,106462,1325,2630790
89931,29792,8757,0.00860544,0.23,23056524,60007616,2024,486978,489002,477102,549,1194768
51594,92721,20107,0.00296184,0.01,14169019,18644313,14713,477089,491802,128927,10431,1550798
54986,14587,17892,0.00013363,0.15,107182,39148904,8821,19998,28819,26793,521,30547
84555,83918,22255,0.00182521,0.03,12951257,56030479,21183,648800,669983,306278,8598,1733734
114116,19946,2585,0.00160539,0.27,3654144,13923102,198,28996,29194,55910,894,73057
71630,54634,1408,0.00296184,0.3,11591069,23091874,768,28668,29436,49367,176,93014
18829,7341,36671,0.02533638,0.25,3502645,67309410,2145,182188,184333,247841,572,666427
26889,71999,9831,0.00370564,0.01,7174091,7078480,5636,106373,112009,29793,5511,378972
128577,13435,1547,0.00860544,0.23,14865353,4781979,86,69849,69935,59866,57,154137
94579,26926,7130,0.00182521,0.27,4648272,51843188,2095,96287,98382,158399,757,210221
89300,62672,2675,0.00370564,0.2,20739217,33537183,1698,152981,154679,126078,874,344275
99044,73254,1425,0.00296184,0.15,21489714,15659006,932,79985,80917,60919,269,197743
9399,66337,15140,0.00013363,0.03,83327,30132156,9780,13616,23396,3220,9148,19768
87206,11318,3155,0.00160539,0.25,1584568,8930147,266,12204,12470,39491,200,31902
50934,66250,15893,0.00491597,0.03,16588394,31588707,13683,415649,429332,166783,4882,1429942
74758,70969,1479,0.00031941,0.15,1694668,15753736,383,5916,6299,20893,410,17385
86717,41736,3127,0.00078778,0.13,2851196,16971095,1149,25575,26724,44749,294,57095
134963,50115,3152,0.00018467,0.15,1249062,23699508,1483,18037,19520,40413,559,33561
46242,36529,1934,0.00082282,0.2,1389925,14131215,292,4796,5088,13070,307,16240
119596,15184,2537,0.00952101,0.17,17289871,6549136,173,130484,130657,107167,92,296533
39751,9041,20031,0.00018467,0.2,66377,36224403,1802,18206,20008,25557,379,24320
74861,3761,13194,0.00082282,0.13,231685,6451839,454,12848,13302,28764,112,27256
50024,20037,8913,0.00182521,0.27,1829576,48222376,1894,38775,40669,84144,384,91616
77588,7012,13176,0.00108175,0.17,588548,15707328,299,22254,22553,76503,232,54712
121993,53221,11925,0.00019487,0.005,1265219,3173431,3594,46833,50427,5798,3396,128483
126989,67460,7212,0.00041097,0.13,3520680,63253426,15559,102350,117909,142897,2257,199807
115832,21498,17887,0.00108175,0.15,2693822,57682133,13987,149099,163086,304753,1953,337909
51310,66327,13468,0.00008429,0.07,286863,62532293,15428,39139,54567,33783,2379,60193
131972,55300,2384,0.00008429,0.25,615158,32968910,1343,16749,18092,32219,285,14840
13603,10089,26357,0.00008429,0.15,11568,39888940,9149,3757,12906,3763,9365,6336
8877,3484,43992,0.00031941,0.3,9881,45990272,1824,19359,21183,8109,376,16409
27624,52458,15862,0.00163948,0.005,2375820,4160472,4588,59642,64230,13549,4786,216479
113491,42518,3849,0.00163948,0.2,7911293,32733423,1719,102140,103859,113186,600,210519
50762,86228,9706,0.01084252,0.0005,47459485,418503,11041,723059,734100,11979,11032,2416551
27348,47832,5357,0.00082487,0.17,1079063,43565662,1849,10260,12109,21240,1309,44795
145187,329,915,0.02533638,0.07,1213491,21132,10,3463,3473,4018,6,3525
37622,36955,6996,0.00163948,0.15,2279445,38783402,9338,23146,32484,48353,835,89328
42382,53674,3279,0.00056263,0.2,1279906,35208943,1764,7634,9398,18861,920,33676
16099,54215,4437,0.00034241,0.17,298866,40895601,9473,5164,14637,7928,1236,10965
87665,48729,17510,0.00296184,0.0005,12652686,426640,5665,495255,500920,9790,5853,1316121
81183,42831,5905,0.00082185,0.05,2857768,12647276,4056,38783,42839,50413,1229,108422
13215,37014,43155,0.00370564,0.01,1812736,15973788,10216,113954,124170,46605,8927,432817
58665,5597,29984,0.02533638,0.15,8319487,25174495,1607,390087,391694,403301,639,1315589
45905,49663,2602,0.00082487,0.15,1880558,19387924,1250,7732,8982,16608,5060,28578
119068,16505,16260,0.00108175,0.13,2126011,34892418,8647,100324,108971,232630,1366,252763
37912,55799,16428,0.00041097,0.03,869404,27501373,8984,31704,40688,35274,8306,102659
29273,47975,30238,0.00018467,0.01,259353,14507068,8951,40627,49578,9360,8921,78623
65650,18087,19824,0.00491597,0.05,5837537,17929190,6148,198283,204431,176750,1745,630627
94087,88687,10808,0.00082185,0.07,6857851,67103577,18269,203999,222268,207818,4673,476947
108444,591,18014,0.01084252,0.1,694959,1064736,47,32534,32581,66910,35,88239
25990,4298,32818,0.00019487,0.27,21773,38093822,1512,21544,23056,20527,567,26381
141815,72084,4985,0.00182521,0.15,18658731,53907250,2535,362039,364574,228512,891,680403
81769,27614,21821,0.00160539,0.05,3624945,30128791,8910,156855,165765,189688,2932,470356
113223,10018,11357,0.00082487,0.23,935663,26169939,1149,37470,38619,138725,238,79329
45618,54388,7874,0.01084252,0.07,26901567,29979312,2520,330980,333500,141955,1469,1080030
63894,38439,4471,0.00860544,0.27,21135422,46407078,1695,169961,171656,211908,637,486512
106923,44899,8525,0.01084252,0.15,52052697,57416751,2638,1184739,1187377,712082,734,2760805
37515,49256,17206,0.00082282,0.07,1520477,59327094,14557,64578,79135,82099,2915,175401
57221,61539,20390,0.00182521,0.005,6427228,6274107,7954,214583,222537,48037,5831,705863
73918,20432,14602,0.00108175,0.05,1633797,14918346,4313,47641,51954,78164,1460,143737
32352,73752,28061,0.00163948,0.01,3911935,20695721,13470,174420,187890,75940,11167,594605
19053,5909,27521,0.00031941,0.17,35965,27650357,1530,15847,17377,10775,864,16635
142193,76384,6370,0.00001651,0.07,179321,34060442,8441,26112,34553,14944,850,27202
53503,57268,1850,0.00860544,0.3,26367431,31798087,1048,72508,73556,107265,559,250221
93935,73922,13905,0.00034241,0.005,2377694,5139488,5690,77431,83121,14305,5891,228101
18107,12950,22537,0.00015297,0.23,35872,67129085,2372,33063,35435,26974,578,9846
1882,96408,20517,0.00082282,0.03,149344,59340961,27711,27235,54946,4887,18383,42025
111945,49638,6764,0.01084252,0.01,60249528,3357904,13059,1071806,1084865,134543,1499,2551712
38161,17898,18304,0.00056263,0.15,384302,49144312,10708,33311,44019,62884,1089,46874
23590,50019,790,0.01084252,0.3,12793700,11868472,157,13706,13863,21601,219,51898
44607,19677,39166,0.00952101,0.005,8357244,3853527,5661,477671,483332,92943,3362,1688947
25512,3189,29064,0.02533638,0.03,2061768,2781105,1594,73782,75376,61628,197,304982
69020,29619,10640,0.00160539,0.05,3281969,15758694,4961,63950,68911,82509,1524,198465
11367,36617,26881,0.00041097,0.01,171068,9843198,6027,20275,26302,3148,5890,45305
46820,35088,10000,0.00056263,0.13,924313,45617340,10143,16832,26975,59092,1098,56663
38268,81011,14807,0.00047003,0.03,1457165,35986213,12288,43058,55346,46217,10797,147897
132093,55926,7122,0.00082282,0.15,6078625,59750458,14623,160321,174944,201807,2035,326035
51899,68702,24643,0.00082487,0.005,2941198,8465346,9321,121013,130334,27109,9282,413429
18531,49721,8755,0.00056263,0.07,518413,30473466,7497,10840,18337,15634,7129,30314
100503,41730,17765,0.00082282,0.001,3450970,741384,4032,145298,149330,3884,3915,407447
124443,1564,13001,0.00860544,0.13,1675223,2644071,94,49398,49492,135082,55,147560
534,13928,46240,0.00078778,0.1,5865,64406972,14545,3492,18037,3056,14366,6862
54171,69049,4887,0.00952101,0.2,35613115,67501922,2614,300309,302923,263237,669,889858
77181,35387,4599,0.00015297,0.13,417799,21158611,1426,14238,15664,16480,1254,24822
107023,12778,6673,0.01084252,0.23,14828725,19615203,337,249153,249490,264912,200,603895
26151,48158,4480,0.00370564,0.005,4666996,1078821,1837,28736,30573,5921,2279,110020
5039,15645,35277,0.00082282,0.1,64872,55191732,12709,10211,22920,12864,12273,20941
6114,42664,21141,0.00370564,0.07,966637,63139837,15371,32353,47724,23173,14397,116566
142799,91268,3641,0.00019487,0.2,2539749,66471738,2590,54365,56955,86090,700,72686
20374,10310,31417,0.00018467,0.05,38792,16196325,4394,15377,19771,4131,4129,19563
66970,42015,17454,0.00034241,0.07,963482,51334084,12650,56459,69109,82683,3591,125932
90343,3655,18815,0.00108175,0.2,357278,13757150,227,25967,26194,82586,151,54877
91534,90483,8372,0.00056263,0.005,4659902,3787658,4711,93334,98045,14965,4827,255064
89398,60028,20137,0.00952101,0.0005,51094075,604412,15981,2301706,2317687,36508,12553,5881714
96832,17872,6773,0.00082487,0.15,1427529,18159347,1127,27585,28712,84182,248,66658
128372,79220,6917,0.00047003,0.03,4780060,16440271,6180,108521,114701,73866,2560,257517
88618,85186,4158,0.00082282,0.005,6211553,1771071,2949,61762,64711,11797,2667,162813
112303,45995,9913,0.00002088,0.1,107854,45596748,10469,31746,42215,19662,847,39521
60438,8929,15095,0.00108175,0.27,583790,36393207,1444,31308,32752,108581,455,56248
42770,49462,28457,0.01084252,0.01,22937950,14076127,12770,952512,965282,169504,6274,3363121
13828,42270,43148,0.01084252,0.0005,6337939,911958,8794,357296,366090,9830,8676,1418460
136012,27908,6746,0.00047003,0.3,1784207,56486517,2421,53072,55493,136643,730,91244
78999,60750,8504,0.00182521,0.01,8759666,5166703,4729,139352,144081,50558,2314,419761
16672,417,36969,0.00491597,0.15,34197,2313742,75,5789,5864,11547,45,10632
75568,16383,12784,0.00047003,0.2,581926,41891097,1580,35713,37293,92044,1069,51877
97236,43938,16814,0.00019487,0.07,832563,51714974,12796,58528,71324,102600,3613,127733
59960,96891,15808,0.00013363,0.03,776342,45951036,15343,55975,71318,38133,13681,95269
35846,61657,3717,0.00031941,0.15,705954,34379891,7653,6199,13852,15624,7676,17634
68113,13437,20825,0.00041097,0.17,376160,47574732,10361,31145,41506,108063,1416,64370
50356,4068,16876,0.00041097,0.25,84193,17164582,639,11223,11862,24212,672,21847
119923,10303,10249,0.00491597,0.13,6074116,13728464,358,174131,174489,194588,292,407121
20934,24889,3564,0.00160539,0.13,836506,11532585,358,5053,5411,12540,443,17103
132120,96192,6405,0.00001651,0.05,209826,30806895,7749,27659,35408,6377,7910,35291
10790,12194,40234,0.00018467,0.13,24300,63785073,13931,7522,21453,8820,13596,12896
12772,39884,13684,0.00370564,0.005,1887745,2729065,3181,34251,37432,9068,3096,139591
2722,44253,7025,0.00182521,0.15,219888,46638421,10298,6079,16377,4172,10079,13020
105590,56113,7015,0.00082282,0.01,4875209,3936776,3636,100157,103793,30323,1793,234804
142072,17946,11968,0.00082487,0.2,2103129,42957373,1502,86842,88344,232804,1134,196380
70048,28008,26539,0.00082185,0.05,1612399,37166650,10781,91896,102677,152568,3666,268499
100808,17638,14925,0.00082282,0.2,1463054,52651214,12089,58711,70800,209877,1394,153153
84676,19530,17106,0.00108175,0.2,1788961,66819509,2634,86451,89085,224688,1741,191595
129536,95059,1952,0.00078778,0.17,9700462,31551020,1824,81077,82901,72505,711,141395
65163,9342,6235,0.00082282,0.03,500927,1747705,147,8758,8905,7724,104,22300
59101,62115,32953,0.00860544,0.0005,31591547,1023447,20372,1649608,1669980,33283,13289,5528475
58225,64324,30532,0.00860544,0.03,32230464,58919556,25281,1607057,1632338,435324,9287,5270161
50680,25677,28317,0.00491597,0.01,6397329,7271102,5910,286378,292288,104325,3263,971569
138502,70304,8703,0.00163948,0.03,15964237,18356833,9033,515629,524662,178173,2905,1024345
73213,32765,17356,0.00078778,0.07,1889801,39808269,10199,75464,85663,145838,2851,211421
35614,57724,23989,0.00019487,0.03,400623,41543475,14207,49675,63882,30970,12940,97253
52019,19591,23435,0.00296184,0.01,3018553,4591472,3386,110283,113669,47088,2086,389523
137556,87265,2160,0.00041097,0.05,4933228,9425754,1681,41634,43315,34261,1024,90963
91220,60873,7368,0.00002483,0.15,137880,67281482,3312,39264,42576,35082,882,31207
146306,88028,7276,0.00008429,0.01,1085579,6405159,3987,31628,35615,8953,4037,80415
14556,57246,26971,0.00370564,0.03,3087915,46321340,16222,119398,135620,61188,13911,478572
67585,15411,9898,0.00108175,0.01,1126733,1525502,1201,22320,23521,8385,1140,68994
32462,15191,13139,0.00163948,0.27,808537,53896833,2225,36464,38689,69020,1537,62002
28228,11045,15236,0.00041097,0.2,128145,33659647,1709,18305,20014,30814,632,9310
29927,62586,11380,0.00182521,0.01,3418698,7122438,4903,57735,62638,24762,4461,222732
8790,21008,5266,0.00370564,0.13,684341,14382335,1052,5246,6298,6484,3692,20631
71474,69560,20116,0.01084252,0.03,53906672,41978567,23224,1798061,1821285,425777,6622,5826298
62685,8764,21359,0.00860544,0.3,4728119,56165045,2165,177777,179942,356487,751,545355
57949,5272,7868,0.00082185,0.25,251103,10371988,160,8206,8366,30776,233,17656
89753,32138,1992,0.00041097,0.17,1185455,10883853,561,9925,10486,21734,428,16821
131054,99310,12348,0.00082282,0.0005,10709064,613151,7114,448522,455636,4571,7407,980413
2914,11502,8793,0.00952101,0.07,319125,7080480,337,4703,5040,3388,2212,16147
16321,5681,20462,0.00108175,0.25,100302,29062590,1193,15467,16660,30216,261,14380
81075,61396,2998,0.00952101,0.25,47393391,46026855,1989,250958,252947,299355,433,773234
121477,76645,4221,0.00108175,0.2,10071912,64704944,2577,165724,168301,174168,653,302937
52831,44990,2389,0.00952101,0.005,22630667,537523,159,86739,86898,10885,167,285933
31675,6269,42255,0.01084252,0.17,2153149,45035833,1920,134080,136000,235241,1389,485021
74301,63567,7783,0.00056263,0.005,2657414,2473820,3171,40650,43821,9281,3270,128294
13665,51673,35578,0.00296184,0.001,2091471,1838479,8932,110533,119465,5071,8573,420901
94363,5230,18546,0.00082282,0.05,406121,4850452,883,27563,28446,29114,224,63263
8068,7164,27509,0.00056263,0.3,32525,59128652,2295,24973,27268,25835,1189,8501
28048,74855,22865,0.00041097,0.03,862884,51349575,17632,48293,65925,61197,15618,133965
22323,42565,16360,0.00041097,0.01,390512,6964035,4588,21933,26521,4748,4253,50508
39622,7533,18033,0.00860544,0.23,2568732,31246910,1353,75367,76720,128306,290,248510
129932,33956,3780,0.00952101,0.2,42007014,25671601,1318,494074,495392,353994,434,1095505
74912,1334,3484,0.00160539,0.27,160485,1255295,38,3318,3356,9640,26,5948
5281,11567,38852,0.00047003,0.13,28713,58422940,13274,6993,20267,9063,2321,34358
33516,14747,19335,0.00108175,0.17,534712,48476577,11110,27566,38676,86110,1476,63813
114172,84698,4706,0.00031941,0.13,3088770,51822721,12442,38351,50793,93321,1416,108783
51159,22716,2259,0.00160539,0.27,1865687,13857905,199,6611,6810,19250,215,23568
95780,10019,13673,0.00860544,0.2,8258001,27398640,1482,276399,277881,335815,486,686060
29145,26837,12010,0.00002483,0.2,19422,64466532,2615,31862,34477,4995,1694,32500
19262,19661,44929,0.00041097,0.03,155648,26502292,9003,34451,43454,14889,8484,67751
